GeneName	Pvalue	Fvalue
Acin1	0.001199138	51.16550897
Add1	0.003223991	30.59484214
Akt1s1	0.012922646	14.49652904
Ankhd1	0.001591444	44.20763284
Anks1a	0.020683332	11.12828915
Araf	0.020625386	11.14612623
Arfgap2	0.026300528	9.689742008
Arhgap25	0.000157215	144.0541183
Arhgap30	0.001995126	39.31586412
Arhgef7	0.05461204	6.238076027
Atad1	0.001598053	44.11288328
Atg2b	0.009855978	16.82733686
Atxn2	0.603727766	0.690587398
Atxn2l	0.000126308	160.894995
Bag3	0.018600304	11.82088974
Baiap2	0.002733484	33.36117787
BC094916	0.825469785	0.299122659
Bcl7c	0.005010278	24.23261713
C2cd5	0.000200684	127.3226659
Camk2d	0.123445809	3.609986863
Camlg	0.003482903	29.37644175
Canx	0.000190774	130.6278942
Carhsp1	0.008007775	18.84028033
Ccdc6	0.004831769	24.70485971
Ccnk	0.001641962	43.49804343
Cdh6	0.013174599	14.3421262
Cdk17	0.035956128	8.057845918
Cds2	0.045360865	6.999712707
Clcc1	0.009232315	17.43859235
Cnot3	0.007929169	18.94119585
Copb2	0.000189024	131.2381556
Cry1	0.003292513	30.25844551
Ddx20	0.000496394	80.38855313
Dmxl1	0.001777744	41.74306037
Dopey2	0.003044063	31.5316112
Dync1li1	0.000671232	68.91236741
Ehmt2	0.049151884	6.661698904
Ei24	0.001902434	40.29986835
Eif3a	0.04947572	6.634636912
Eif3b	2.26E-05	382.3161313
Eif4b	0.000747424	65.22393594
Eif4enif1	0.002908022	32.2968853
Eif4g1	0.000132089	157.3002672
Emc4	0.000596036	73.22574471
Epb4	0.40340344	1.247883783
Exoc6	0.006569489	20.9638891
Fam193a	0.000946582	57.78397624
Fam195b	0.002326451	36.29324219
Gemin5	0.030845472	8.826152604
Gigyf1	0.090472385	4.488846532
Hectd2	0.000680945	68.40799404
Hirip3	2.66E-05	352.4715099
Hnrnph1	0.001324522	48.60785551
Hook3	0.034846386	8.210219345
Hps5	0.000900837	59.27207885
Hspa4	0.198525565	2.500083631
Htt	0.003612881	28.81477853
Inpp5d	0.00017778	135.3734274
Inpp5f	0.031017851	8.797183936
Ints10	0.003523059	29.19960737
Iqcj	9.30E-06	597.2859044
Itgb1bp1	0.001484092	45.83408256
Kif13b	0.001647988	43.41559227
Kif1b	0.047398593	6.812990487
Lcp2	0.001155224	52.15830046
Lrrfip1	0.005869725	22.26913159
Maf1	0.001757759	41.98854877
Malt1	0.000165391	140.4094091
Map3k2	0.682013907	0.53632375
Map4k4	0.011734552	15.29040967
Mcl1	0.004970279	24.33621894
Mief1	0.000311394	101.9060677
Mink1	0.002781365	33.05926265
Msn	0.007768484	19.15222985
NA.	0.018002649	12.04146722
Nefh	0.00060731	72.52832814
Nfkb2	0.000715487	66.69812906
Nop56	0.510862501	0.911186785
Nup35	0.002640157	33.97309296
Osbp	0.002937323	32.12757374
Pacsin1	0.010928668	15.90107438
Pak2	0.006036213	21.93811047
Pan2	0.001910986	40.2060925
Parp14	0.049427749	6.638628934
Parvg	1.87E-05	421.1339799
Pcm1	0.146212686	3.184826519
Pdap1	0.003008974	31.72402301
Pdlim5	0.00194958	39.79060066
Pfkl	0.0043568	26.09980477
Phactr4	0.016690673	12.56656274
Phrf1	0.273763958	1.881251507
Phtf2	0.007975676	18.88130947
Pi4ka	0.124920546	3.578993227
Pkn2	0.019520847	11.50116008
Pnisr	0.298829569	1.72818124
Pola2	0.010693672	16.09201483
Ppm1g	0.000244564	115.1895924
Ppp1r12a	0.001281342	49.44617027
Ppp1r18	0.001192206	51.31856626
Prkca	0.002050692	38.75823899
Prkd2	0.011616762	15.37568568
Prkd3	0.00524241	23.65496574
Ptpn12	0.00080788	62.67654488
Pxn	9.46E-05	186.1484208
Rabggta	0.000515355	78.8669038
Ranbp10	0.190148667	2.590571873
Ranbp2	0.001941529	39.87625041
Rapgef6	0.042937745	7.238796467
Rbbp4	0.002391983	35.77108149
Rbm3	0.004999705	24.25988094
Rgcc	0.001050694	54.76710793
Rictor	0.001010816	55.86744709
Rnf2	0.014627365	13.53107971
Rps6ka3	0.000662181	69.39238423
Rptor	0.026762376	9.59205772
Rrp1	0.000636313	70.82019056
Rsf1	0.088170262	4.567969915
Safb2	0.416365099	1.20086959
Samhd1	0.051676894	6.457472233
Samsn1	0.000283777	106.8237219
Sec23ip	0.000395987	90.19145864
Sec31a	0.007204645	19.94777427
Setbp1	0.027297046	9.482079076
Setd7	0.018335066	11.91745086
Sgk223	0.00089732	59.39116328
Sgta	0.027303204	9.480831354
Sh3bp1	0.082997432	4.757572151
Slc12a7	0.040565225	7.493315205
Slc26a2	0.0011019	53.44276268
Slc39a6	0.008657677	18.05929157
Slmap	0.002073858	38.53240297
Snapin	0.007534835	19.47104881
Snip1	0.56374675	0.779585365
Snrk	0.125945939	3.557762754
Snx17	0.019692738	11.44395395
Snx2	0.001065153	54.38349322
Son	0.139483323	3.299664583
Spag7	0.001366015	47.84002738
Spata5	0.000443792	85.10907826
Srpk2	0.001361247	47.92646379
Srrm2	0.912796506	0.167856506
Srsf5	0.01769298	12.16012609
Srsf9	0.000135541	155.2642561
Stat6	0.001271151	49.65021364
Stim1	0.016207688	12.77573528
Stmn1	0.00047424	82.28072335
Tacc1	0.034584288	8.247271779
Tcf12	0.034521629	8.256192188
Tex2	0.003770859	28.17160376
Tln1	0.002802806	32.9265816
Tmem209	0.004158889	26.75041371
Tom1l2	0.02263008	10.56942083
Tpd52l2	0.001248099	50.12097002
Tpr	0.012656178	14.664817
Trip12	0.084151266	4.713775069
Trmt44	0.000403486	89.33491326
Twistnb	0.010950127	15.88394537
Txlna	0.000413655	88.2107521
Uba1	0.018473262	11.86688061
Ube2j1	0.007606438	19.37178647
Ube2o	0.000616388	71.98076183
Ube4b	0.010905577	15.91956222
Ubr4	0.003084796	31.312384
Ulk1	0.044674962	7.065414693
Usp15	5.21E-05	251.4858765
Usp4	0.015622143	13.04221499
Usp53	0.02165003	10.84135488
Utrn	0.024042394	10.20716987
Vgll4	0.044231048	7.108747597
Vprbp	0.014533064	13.58000858
Vrk3	0.002644974	33.94071539
Wdr59	0.000862118	60.62308335
Xrcc4	0.000433491	86.13277021
