GeneName,0a,0b,2a,2b,8a,8b,16a,16b
Acin1,101418.6526,100011.126,99758.96524,95350.24222,86309.08291,88542.47987,76157.88334,78989.50748
Add1,88357.30818,88817.82368,86832.95293,92630.90104,88549.68614,91932.59914,69932.72009,71266.99763
Ankhd1,15307.89767,15526.74233,18604.10117,20009.36117,23475.194,22353.66733,21926.56285,22953.12975
Arhgap25,11001.05038,10087.33105,28317.00357,28758.93624,26794.93619,24408.09867,14531.4379,15684.40803
Arhgap30,11917.51986,12544.67786,17755.44971,17222.83243,15665.18886,15054.20071,12019.77114,13218.57831
Atad1,2098.16065,1839.6918,5826.716,4631.799,7104.562,6712.2855,6200.76695,5975.1329
Atxn2l,20798.72661,21077.41267,25603.74867,26448.34394,30514.96994,29205.00433,32657.29138,32491.52513
Baiap2,46261.29275,45372.47875,42220.257,47586.2585,60592.08125,58247.01425,60767.13763,60915.47305
C2cd5,14696.75193,14388.8664,18550.5914,18091.5484,15564.89213,15979.952,13854.76813,13720.6088
Camlg,5465.565,5538.138,7604.240667,7945.777333,7348.644333,6679.573333,8228.134133,8807.384067
Canx,152029.8094,147404.7367,154738.6037,154363.0268,150677.6573,152573.0075,180606.5844,181872.5748
Ccnk,195820.8621,188453.6886,185038.1973,167985.2266,136994.7686,144062.8497,120241.5998,120625.8497
Copb2,5123.946,5377.532,10655.7,9768.541,11869.094,11578.68,10371.8923,10614.1916
Cry1,11800.16,11652.71,17410.34,16404.945,19108.8985,17353.355,17372.38175,18189.63035
Ddx20,8466.047167,8943.065667,12800.40433,9978.495167,15034.7975,14644.15267,24542.66145,23722.97585
Dmxl1,6531.79,6152.185,11962.275,12245.95,13593.273,11927.39,9424.1976,9912.72175
Dopey2,9193.712125,9682.745875,13193.35963,14417.26275,14291.32688,13773.96775,11471.09056,12037.38501
Dync1li1,23932.56913,24602.08488,36949.081,34609.66563,36178.36038,35209.78713,30713.38099,30793.28171
Ei24,20108.422,17598.7495,37134.7685,37607.545,33274.325,29430.2855,29631.2449,28105.50815
Eif3b,20839.6412,21412.5107,20607.2665,20618.02525,20650.47085,20731.18015,26442.01101,26480.57978
Eif4b,22060.83444,22115.34278,41630.86444,37455.23172,47635.0345,44021.61689,52884.56764,56962.38169
Eif4enif1,13155.15982,13384.19782,14713.692,13361.39536,15415.26327,14346.89055,19653.64806,21117.68892
Eif4g1,26200.82911,25622.85483,16940.85906,18860.18517,22391.157,21784.26867,33563.86828,33330.83631
Emc4,35493.685,34306.1375,49133.955,48570.895,47912.13825,45262.4875,38840.08945,39488.77438
Fam193a,15586.20743,16505.18229,17567.34229,17947.68757,22023.59014,20927.12114,21869.68439,21731.24429
Fam195b,8181.571889,8252.409333,12416.53456,11400.87611,14948.34333,13518.59711,13362.81411,13668.81307
Hectd2,7299.644,6946.336,11462.77,11086.25,13551.026,12571.58,13035.2153,13895.6578
Hirip3,10049.36961,10249.14381,10837.27597,10054.12622,16694.37103,15413.5245,37012.34773,39401.29765
Hnrnph1,162464.463,163121.369,289477.6567,268279.4817,333623.781,302773.4443,238315.5978,244831.9405
Hps5,18010.14,18848.46,27574.4,26040.22,21809.688,21790.4,20741.7449,20118.1612
Htt,12829.206,13443.6505,23621.89,25129.985,20056.6365,17190.315,17911.20815,16878.6527
Inpp5d,27168.86717,27005.6635,52621.56175,52751.91942,52792.7445,48660.65825,36442.7556,35735.36545
Ints10,7829.749333,8486.718667,16325.48333,14249.39267,13018.98867,12721.10167,12752.85233,12977.69837
Iqcj,15247.2,15164,22625.86,23287.12,24741.717,24960.88,25440.2137,25128.9437
Itgb1bp1,5268.399375,5347.929,11229.17225,9459.329625,14302.4035,13943.22063,13485.88973,15215.9163
Kif13b,13864.39,13803.76267,12317.69083,12617.766,16385.62733,17272.73617,16852.32052,17939.3629
Lcp2,13963.7638,14053.5578,23363.7046,22697.096,28509.4595,25753.597,22403.20296,23571.7684
Maf1,8780.116,8594.2815,15033.819,13646.088,16862.3935,15369.5145,15145.3247,14992.8487
Malt1,5502.191,5581.481667,7800.173333,7528.516667,7951.518,7768.712,8642.136267,8368.727633
Mief1,20892.81,22145.44367,37888.22667,35480.66333,35280.44,35094.33667,33586.76053,33246.83817
Mink1,15099.78288,14330.18688,15902.32438,17029.85075,19660.08744,19103.51569,20489.91778,19572.76899
Nefh,7050.84975,7066.08975,13319.09138,10659.04888,20714.42488,19031.03788,24043.30153,26122.10701
Nfkb2,12906.7355,13273.3395,16417.3125,17259.1675,23215.4895,20936.095,25246.82618,24464.84783
Nup35,14307.51571,12935.026,22101.62114,19444.20114,25593.17057,24383.914,21918.90404,21324.46626
Osbp,37895.17571,37273.49946,43338.37096,40930.8245,38577.14225,38376.10042,33076.92455,31738.33977
Pan2,6367.944,5678.046,21117.285,19638.63,18588.245,15096.215,13919.40865,13801.21445
Parvg,10039.5695,10088.813,19519.885,19566.91,25498.7565,24485.475,19038.37115,19691.7261
Pdap1,95454.26222,95548.94022,78619.79389,94127.75333,91660.63156,89610.54889,134207.2822,139755.7038
Pdlim5,11622.37528,10678.17889,15447.66322,14202.84783,17210.85689,16947.51911,15393.312,15397.45027
Ppm1g,9612.383,8776.821125,24839.27463,23791.74013,24232.057,22083.59963,19292.83075,19692.58253
Ppp1r12a,29179.00647,29141.15606,27854.60806,28992.04682,26113.95894,26161.20094,24032.57165,23174.29814
Ppp1r18,27607.08975,26479.94675,48766.87292,49601.408,45893.74867,41056.86425,35278.17308,37063.24418
Prkca,58209.89,50414.71,56710.3,50314.61,88415.5285,82463.095,85285.0828,86884.81715
Ptpn12,13926.49758,14196.31283,19743.83392,19574.719,18871.7755,17612.67258,15309.86755,15376.62256
Pxn,23391.2519,24289.8971,28789.4628,29261.4734,30987.1763,30570.7813,32610.48775,32502.26774
Rabggta,10421.91,9124.708,25582.81,21328.24,34733.678,34012.71,30299.6215,32338.8141
Ranbp2,12564.72755,12125.99906,15007.26116,14361.17784,17092.14271,16553.67655,15779.64149,16611.21163
Rbbp4,25996.09,23949.72,35770.65,34591.69,39167.25,36437.65,32778.8193,31953.1891
Rgcc,37019.79883,37547.308,65600.78,64740.15233,79484.6735,70800.68167,49077.12902,51211.52867
Rictor,10156.51825,10062.56875,10908.593,10829.9875,13090.871,12710.5655,14176.54943,13354.5922
Rps6ka3,16369.1134,17131.182,27698.832,28440.438,24254.0002,22634.4628,19662.25844,20917.37368
Rrp1,9087.267188,8730.372388,10092.76425,8787.134125,15367.18513,14253.06475,18456.99469,19971.57713
Samsn1,4288.111667,4109.565333,4640.5685,4777.508667,7672.223167,7007.354333,8458.865583,8893.66875
Sec23ip,14738.6056,13520.781,26969.3608,25828.7852,28696.2758,26716.852,23980.4213,23982.24754
Sgk223,25825.79783,19255.0625,60726.37533,55913.3785,36565.86,37094.468,27391.98653,28108.12118
Slc26a2,2792.238,2739.305,11971.75,10774.16,9157.972,9278.369,6384.8047,7990.7387
Slmap,5658.11125,4726.9125,8191.886,7934.38925,8479.40725,8762.44075,6443.31885,6408.085525
Snx2,2775.7515,2865.1285,14314.07,12413.24,13568.364,11822.605,8223.77555,8737.4868
Spag7,6084.207,6737.592,9301.887,8791.949,8203.9995,7848.185,10068.6782,10260.73
Spata5,22758.379,21792.5595,23199.706,24017.3415,26697.614,27796.8735,33983.77615,32650.8176
Srpk2,14901.92478,14724.82067,38578.73611,41938.26933,29613.48544,32806.16144,16144.50101,21056.77519
Srsf9,83727.05529,82895.58414,80198.733,75101.16743,99454.62129,96272.14243,121893.5026,120461.9382
Stat6,12589.82,12305.06,83091.6,67912.02,57419.253,59453.29,58579.2231,60317.4349
Stmn1,13812.65071,13699.15729,27284.723,25908.31771,19083.577,16805.94371,13713.28303,13845.39
Tex2,6512.873,6417.5375,14917.195,12929.805,13080.554,11585.801,9355.1844,9308.21875
Tln1,39217.17363,39551.99225,47810.55838,51555.191,52329.80338,49938.94213,39482.65995,38849.40525
Tpd52l2,25120.57125,25706.75275,35624.77175,32413.5765,33057,32376.5925,41527.64953,40224.6481
Trmt44,6945.704,8006.659,17281.58,18664.05,17526.601,16508.79,15590.0591,15830.7084
Txlna,3160.260667,3343.389983,7770.719833,7111.951717,13787.20367,11936.52367,15021.45458,16320.3335
Ube2o,14685.0566,14787.475,19911.982,18360.7518,20506.895,20011.092,23143.17174,23029.47874
Ubr4,10020.81159,10466.58532,12782.46668,12476.5015,14372.58232,13782.28391,14240.01369,15444.40028
Usp15,24425.836,24691.52,44445.142,42711.628,43780.9698,42140.066,45385.16002,46000.30482
