GeneName,0h.a,0h.b,2h.a,2h.b,8h.a,8h.b,16h.a,16h.b
Rps6,16.61619567,16.66925237,16.58919796,16.4566733,16.40698936,16.43825963,16.27648274,16.31233859
Ybx3,16.44429825,16.47459477,16.35540724,16.41137873,16.44947589,16.5099389,16.15500152,16.19202338
Ybx1,13.28749452,13.26893685,13.44562342,13.3808017,13.53481135,13.4270273,13.55747574,13.59959268
Csde1,13.97846218,14.01965265,14.22131878,14.23840727,14.46016332,14.4257493,14.41933517,14.46892557
Gramd1b,15.3996278,15.50123527,15.50123527,15.33566233,15.67610789,15.60939688,15.76519645,15.82165302
Zcchc9,14.68211825,14.69263259,14.83033981,14.69454672,14.83572922,14.75942231,14.69546399,14.67099171
Themis,13.67002115,13.70872692,13.72360121,13.8352084,13.83152743,13.74514343,14.04395993,13.99833083
Gch1,13.48852368,13.41214761,14.82752669,14.74748785,14.66883588,14.54992638,13.79603691,13.89300012
Cd69,13.61166125,13.72951224,14.15118072,14.02783115,13.86513465,13.84274171,13.51350425,13.62478498
Stat6,14.64009408,14.50939667,14.90287743,14.59238332,14.9875071,14.85886684,14.91002779,14.92228222
Cd3eap,11.23321424,11.21319341,12.54130241,12.14153584,12.69759898,12.68019263,12.57324225,12.50498369
Rbm19,14.3144387,14.27173153,14.69263259,14.83572922,14.79210021,14.76138224,14.87625127,14.87340966
Pinx1,13.57864827,13.63439006,13.32287374,13.52530574,13.3487184,13.43471553,13.50198034,13.47858328
Gnai1,14.40219625,14.43572206,14.66291126,14.64444152,14.8622133,14.8064656,14.99959125,14.97341464
Bin2,13.65101141,13.67387739,13.99393093,13.85597592,14.11070304,14.17101221,14.38250627,14.05541597
Cemip,15.51731738,15.51611548,15.37707415,15.44721851,15.83127126,15.81022961,15.94288931,15.93724635
Eef1g,15.33566233,15.32383926,15.09690021,15.66960501,15.49207038,15.48224029,15.44280051,15.41955799
Rpl12,13.45269969,13.6052146,13.59432025,13.55111484,13.59776428,13.59180299,13.7608096,13.73735276
Txnrd3,13.91968611,13.91525603,14.21438035,14.10834945,13.85356178,13.93313876,13.72656049,13.68521281
Hirip3,13.60620809,13.51884486,13.75616894,13.84843783,13.86233886,13.67312551,13.79562869,14.01330108
Nr4a1,12.48173605,12.55125988,12.90665783,12.92366046,12.75561898,12.66151152,12.99565376,13.06372061
Hypk,17.20159991,17.20159991,17.24154492,17.20159991,17.20159991,17.22708749,17.49793035,17.47089695
Abcb1b,14.46974514,14.44645139,14.81544713,14.47688523,14.9177479,14.91282786,14.9932248,15.04988314
Txlna,15.1809507,15.17624969,15.60229285,15.42448365,15.49838699,15.46996654,15.54731995,15.50393272
Rpl32,17.583644,17.51732695,17.51732695,17.28290096,17.06487644,17.20159991,16.8496248,16.82620745
Cpsf1,12.89113286,12.77398912,13.50198034,13.40671674,13.46495677,13.26742325,13.09976679,13.15993753
Ier2,14.02367105,14.05797818,14.08927456,14.2017619,14.61719965,14.3943964,14.23309189,14.32948816
1700028K03Rik,14.46700828,14.4107427,14.92448332,14.6161921,14.77513322,14.70844464,14.61005637,14.57776065
Rpl6,15.11694115,15.192361,16.61619567,16.65268601,17.12577452,16.69299744,16.23190141,16.44429825
Ngdn,12.27085131,12.17799487,13.7041549,13.30665227,13.20179521,13.13927067,12.98094418,13.11312154
Pdcd1,12.38084576,12.5010842,13.45608035,13.23292528,13.45089203,13.46726549,13.3105004,13.31677923
Pdcd11,13.58500014,13.61610034,14.11536104,13.95729872,14.16101038,14.05638007,14.05907713,14.11148737
Tnpo1,13.09284897,13.22983631,13.70984033,13.26538482,13.80218456,13.80525204,14.57157914,14.5157639
Rasa3,12.74829954,12.69883819,13.62333341,13.55342127,13.65101141,13.50579894,13.18651394,13.22606998
Snx2,13.21538835,13.34758676,13.74440337,13.78640981,13.71788605,13.70747793,13.44426476,13.48899998
Myc,14.59388887,14.66883588,15.192361,15.0202157,15.11497219,15.08369172,14.90858999,14.88225352
Tfdp1,13.93553331,13.87908743,14.02271676,14.09058266,13.88341003,13.9093119,14.07056271,14.02271676
Las1l,14.34990212,14.19712747,15.20018775,15.15119778,14.98505533,14.82488926,14.85301704,14.75816458
Copa,11.66226937,11.81323142,12.74148642,12.29860246,12.19292702,11.95423546,12.19921153,11.85498379
Pdha1,14.40562649,14.46111387,14.37358889,14.28744541,14.27349664,14.3044872,14.68211825,14.66883588
Sh2d2a,14.47138887,14.51054021,15.3656617,15.1431644,15.51100043,15.39714371,15.74187809,15.81910316
Gng12,13.7608096,13.81451172,13.89638995,13.66399691,13.83767979,13.77179994,14.25221906,14.3404834
Ddx59,14.71504713,14.72153027,14.07948859,14.16216278,14.38865407,14.38422922,15.04732259,15.01057396
Slc5a6,15.14048281,15.12460946,15.57026141,15.48573385,15.51855157,15.45683901,15.26404497,15.28175797
Trim28,14.33015108,14.3079054,14.19247161,14.21947159,14.19037287,14.25676238,14.38790524,14.24383021
Add2,13.23801563,13.41683864,13.65101141,13.61828463,13.89761664,13.6963629,13.95790773,13.96475956
Arhgap25,13.99547909,14.11148737,14.1331407,14.09901163,14.36171048,14.31686472,14.41217759,14.3864753
Rnf219,13.05089447,13.1100217,13.67926689,13.45608035,13.78961219,13.67637768,13.67122293,13.68091115
Bex6,12.82067298,12.77778499,12.82067298,12.66330315,12.73028894,12.74397649,12.92577689,12.92366046
Nufip2,13.87853061,13.89300012,13.88020064,13.84978073,13.78998812,13.82689696,13.93407823,13.83152743
Pdcd4,12.89619793,12.8726508,13.56776699,13.41498948,13.64745317,13.57534941,13.63230307,13.70560253
Larp4,13.35885085,13.43267177,13.48584051,13.27844998,13.95477425,13.88077681,15.19561606,15.27892721
Zfp36l1,17.35251907,17.31249862,18.34180661,17.97054163,18.34180661,18.23127658,17.97054163,18.03389528
Atp1a1,12.6171329,12.69193942,13.49447741,13.03712516,13.28093393,13.22371416,12.9391874,13.07323303
Ppm1g,14.2044538,14.286321,14.78511246,14.6183014,14.34893013,14.38607621,14.3404834,14.26337331
Mki67,13.74111019,13.69227117,14.14527236,13.67813328,13.96318731,13.98006539,13.85998246,13.81717368
