ID	0h.a	0h.b	2h.a	2h.b	8h.a	8h.b	16h.a	16h.b
Acin1	16.6161956727378	16.669252368856	16.5891979647679	16.456673304204	16.4069893590541	16.4382596279374	16.2764827386067	16.3123385893828
Add1	16.4442982522251	16.4745947717541	16.355407243056	16.4113787311839	16.4494758891207	16.5099389036737	16.1550015241938	16.1920233816154
Akt1s1	13.2874945161039	13.2689368487445	13.4456234207772	13.3808016960529	13.5348113489236	13.4270272982061	13.5574757380814	13.5995926847933
Ankhd1	13.9784621781843	14.0196526525807	14.2213187816828	14.2384072746596	14.4601633230744	14.4257492971769	14.4193351690982	14.4689255733197
Anks1a	15.3996277952323	15.5012352658724	15.5012352658724	15.3356623262814	15.676107887094	15.6093968755337	15.7651964478891	15.8216530170817
Araf	14.6821182475538	14.692632586164	14.8303398112928	14.6945467153938	14.8357292212494	14.7594223116674	14.6954639919037	14.6709917139683
Arfgap2	13.6700211487217	13.708726923321	13.7236012139209	13.835208397032	13.8315274292867	13.7451434282085	14.0439599344577	13.9983308258161
Arhgap25	13.4885236780247	13.4121476141929	14.8275266880881	14.7474878488589	14.6688358847168	14.5499263798927	13.7960369093743	13.8930001215006
Arhgap30	13.6116612491383	13.7295122422378	14.1511807161525	14.0278311450104	13.8651346487156	13.8427417061877	13.5135042462916	13.6247849844556
Arhgef7	14.6400940820878	14.5093966694948	14.902877425256	14.5923833165872	14.9875070973212	14.8588668385483	14.9100277875127	14.9222822237313
Atad1	11.2332142355664	11.2131934149771	12.5413024090799	12.1415358376974	12.6975989790608	12.6801926337607	12.573242247901	12.5049836934297
Atg2b	14.3144386967958	14.2717315318477	14.692632586164	14.8357292212494	14.792100209933	14.7613822443449	14.8762512734237	14.8734096624315
Atxn2	13.5786482734551	13.6343900607885	13.3228737421536	13.5253057421371	13.3487183998625	13.4347155252994	13.5019803438086	13.4785832842255
Atxn2l	14.4021962461974	14.4357220610194	14.6629112605348	14.6444415172047	14.8622133020274	14.8064656044491	14.9995912512171	14.973414639926
Bag3	13.6510114148746	13.673877390004	13.9939309339848	13.8559759231699	14.1107030449128	14.1710122120207	14.3825062663281	14.0554159670435
