GeneName,0h.a,0h.b,2h.a,2h.b,8h.a,8h.b,16h.a,16h.b
Acin1,9.9E+04,1.1E+05,1.5E+05,1.4E+05,1.6E+05,1.6E+05,1.5E+05,1.5E+05
Add1,1.1E+04,1.1E+04,1.7E+04,1.9E+04,1.7E+04,1.6E+04,1.5E+04,1.4E+04
Akt1s1,1.8E+04,1.6E+04,2.4E+04,2.4E+04,3.1E+04,2.6E+04,2.9E+04,3.3E+04
Ankhd1,1.3E+04,1.3E+04,1.8E+04,2.4E+04,3.2E+04,2.7E+04,2.9E+04,3.3E+04
Anks1a,1.1E+04,1.0E+04,1.6E+04,1.3E+04,1.7E+04,1.8E+04,2.0E+04,2.1E+04
Araf,1.5E+04,1.2E+04,2.1E+04,2.0E+04,2.3E+04,2.0E+04,1.6E+04,1.7E+04
Arfgap2,6.4E+03,6.8E+03,9.1E+03,9.9E+03,1.1E+04,9.3E+03,1.1E+04,1.0E+04
Arhgap25,4.8E+03,4.1E+03,1.0E+04,1.1E+04,1.1E+04,1.0E+04,7.6E+03,7.9E+03
Arhgap30,1.1E+04,1.2E+04,2.3E+04,2.3E+04,2.5E+04,1.9E+04,1.6E+04,1.8E+04
Arhgef7,2.0E+04,1.9E+04,5.1E+04,4.9E+04,5.4E+04,4.9E+04,5.5E+04,5.5E+04
Atad1,3.6E+03,3.1E+03,4.8E+03,4.4E+03,5.2E+03,5.2E+03,5.9E+03,6.0E+03
Atad1,5.7E+02,6.0E+02,6.9E+03,4.8E+03,9.0E+03,8.3E+03,6.5E+03,5.9E+03
Atg2b,2.0E+04,1.9E+04,2.6E+04,3.1E+04,2.9E+04,2.8E+04,3.0E+04,3.1E+04
Atxn2,3.8E+03,4.7E+03,5.6E+03,7.5E+03,9.2E+03,9.3E+03,1.0E+04,9.7E+03
Atxn2l,5.0E+03,4.8E+03,6.3E+03,6.9E+03,6.8E+03,7.8E+03,7.9E+03,8.6E+03
Atxn2l,5.2E+04,4.7E+04,7.2E+04,7.8E+04,8.6E+04,8.0E+04,8.6E+04,8.1E+04
Atxn2l,1.9E+04,2.4E+04,3.2E+04,3.2E+04,3.4E+04,3.2E+04,3.9E+04,4.2E+04
Atxn2l,1.7E+04,1.8E+04,2.3E+04,2.3E+04,2.7E+04,2.6E+04,2.9E+04,2.8E+04
Atxn2l,3.0E+04,3.0E+04,5.3E+04,5.9E+04,6.5E+04,5.9E+04,6.6E+04,6.9E+04
Bag3,1.2E+04,1.2E+04,1.6E+04,1.5E+04,1.9E+04,1.9E+04,2.1E+04,1.8E+04
Baiap2,3.8E+03,4.1E+03,7.3E+03,6.4E+03,5.2E+03,4.7E+03,7.4E+03,7.1E+03
BC094916,5.1E+03,4.1E+03,6.8E+03,7.9E+03,6.8E+03,7.5E+03,8.0E+03,7.8E+03
